Locations,cid
Abidjan,abidjan
Abu Dhabi,P2
Accra,P4
Addis Ababa,P5
Algiers,P6
Almaty,P7
Amman,P8
Amsterdam,P9
Ankara,P10
Antananarivo,P11
Ashgabat,P12
Asmara,P13
Asuncion,P15
Athens,athens
Auckland,P17
Baghdad,P226
Bangkok,P22
Banjul,banjul
Beirut,P25
Belgrade,P27
Belmopan,P28
Bern,P30
Beirut,P25
Bishkek,P31
Bogota,P32
Bratislava,P34
Brazzaville,P35
Bridgetown,P36
Brussels,P37
Bucharest,P38
Budapest,P39
Buenos Aires,P40
Bujumbura,P41
Cairo,P42
Calgary,P43
Cape Town,P44
Caracas,P45
Casablanca,P46
Chisinau,P50
Ciudad Juarez,P51
Colombo,P52
Cotonou,P55
Dakar,P56
Damascus,P57
Dar es Salaam,P58
Dhaka,P60
Djibouti,P61
Doha,P62
Dubai,P63
Dublin,P64
Frankfurt,P68
Freetown,P69
Georgetown,P71
Guangzhou,P73
Guatemala City,P74
Guayaquil,P75
Hamilton,P77
Havana,P80
Helsinki,P81
Ho Chi Minh City,P83
Hong Kong,P84
Harare,P79
Islamabad,P86
Jakarta,P88
Jerusalem,P90
Johannesburg,P91
Kabul,P229
Kampala,P93
Kathmandu,P95
Khartoum,P96
Kigali,P97
Kingston,P98
Kinshasa,P99
Kuala Lumpur,P104
Kuwait City,P105
Kyiv,P106
Lagos,P108
La Paz,P107
Libreville,P109
Lilongwe,P110
Lima,P111
Ljubljana,P113
Lome,lome
London,P115
Luanda,P116
Lusaka,P117
Madrid,P119
Managua,managua
Manama,P123
Manila,P124
Monrovia,P134
Montevideo,P136
Montreal,P137
Moscow,P138
Mumbai,P139
Muscat,P141
Naha,P143
Nairobi,P144
Naples,P145
Nassau,P146
New Delhi,P147
Niamey,P148
Nicosia,P149
Oslo,P154
Ouagadougou,P156
Panama City,P157
Paramaribo,P158
Paris,P159
Phnom Penh,P161
Prague,P168
Praia,P169
Pristina,P231
Port Au Prince,P164
Port Moresby,P166
Port of Spain,P167
Rangoon,P172
Reykjavik,P174
Riga,P175
Rio de Janeiro,P230
Riyadh,P117
Sanaa,P181
San Jose,P179
San Salvador,P180
Santiago,P182
Santo Domingo,P183
Sarajevo,P185
Seoul,P186
Singapore,P189
Skopje,P190
Sofia,P191
Stockholm,P193
Suva,P195
Sydney,P196
Taipei,P197
Tallinn,P198
Tashkent,P199
Tbilisi,P200
Tegucigalpa,P201
Tel Aviv,P202
Tirana,P204
Tokyo,P205
Tunis,P208
Ulaanbaatar,P209
Vancouver,P211
Vienna,P212
Vientiane,P213
Vilnius,P214
Warsaw,P216
Yaounde,P218
Yerevan,P220
Zagreb,P221